Game Id;PlayerId;TeamId;Game Rating;SA;GA;SV;SV%;TOI;PIM
24559;167642;18;0;0;0;0;.00nan;0;0
24559;173727;18;87;35;2;33;.943;3600000;0
24560;194416;17;97;19;0;19;1.000;3600000;0
24560;178413;17;0;0;0;0;.00nan;0;0
24560;149452;31;0;0;0;0;.00nan;0;0
24560;152717;31;80;45;4;41;.911;3600000;0
24561;320;21;44;30;5;25;.833;3600000;0
24561;3284;21;0;0;0;0;.00nan;0;0
24561;196090;4838;0;0;0;0;.00nan;0;0
24561;185743;4838;71;19;1;18;.947;3600000;0
24562;166591;20;45;23;4;19;.826;3513000;0
24562;183783;20;0;0;0;0;.00nan;0;0
24562;-1;5;0;0;0;0;.00nan;0;0
24562;61425;5;80;37;2;35;.946;3600000;0
24563;183844;29;0;0;0;0;.00nan;0;0
24563;168872;24;0;0;0;0;.00nan;0;0
24563;173699;29;60;37;4;33;.892;3600000;0
24563;85727;24;51;22;3;19;.864;3600000;0
24564;175912;14;45;32;5;27;.844;4200000;0
24564;185034;14;0;0;0;0;.00nan;0;0
24564;186573;16;0;0;0;0;.00nan;0;0
24564;50065;16;53;35;5;30;.857;4200000;0
24565;166646;0;0;0;0;0;.00nan;0;0
24565;170314;25;0;0;0;0;.00nan;0;0
24565;191813;25;89;26;1;25;.962;3600000;0
24565;59540;0;62;33;3;30;.909;3530000;0
24566;3928;15;0;0;0;0;.00nan;0;0
24566;163195;15;59;20;2;18;.900;3600000;0
24566;183859;23;0;0;0;0;.00nan;0;0
24566;78573;23;65;32;3;29;.906;3575000;0
24567;77955;28;0;0;0;0;.00nan;0;0
24567;85437;28;82;28;1;27;.964;3600000;0
24567;149452;31;0;0;0;0;.00nan;0;0
24567;152717;31;44;29;5;24;.828;3600000;0
24568;556;33;79;41;4;37;.902;3600000;0
24568;197038;33;0;0;0;0;.00nan;0;0
24568;139409;3;0;0;0;0;.00nan;0;0
24568;148958;3;80;23;1;22;.957;3600000;0
24569;197940;11;96;43;1;42;.977;3554000;0
24569;187578;10;0;0;0;0;.00nan;0;0
24569;45323;11;0;0;0;0;.00nan;0;0
24569;90164;10;100;32;0;32;1.000;3600000;0
24570;183904;34;83;35;3;32;.914;3574000;0
24570;186573;16;71;19;1;18;.947;3600000;0
24570;50065;16;0;0;0;0;.00nan;0;0
24570;78806;34;0;0;0;0;.00nan;0;0
24571;187537;19;41;9;2;7;.778;1023000;0
24571;178384;19;30;28;6;22;.786;2577000;0
24571;174718;12;0;0;0;0;.00nan;0;0
24571;85798;12;77;35;3;32;.914;3600000;0
24572;167642;18;0;0;0;0;.00nan;0;0
24572;173727;18;55;17;2;15;.882;3600000;0
24572;184229;35;0;0;0;0;.00nan;0;0
24572;57338;35;54;42;5;37;.881;3600000;0
24573;13714;8;95;34;2;32;.941;3600000;0
24573;170977;30;0;0;0;0;.00nan;0;0
24573;58830;8;0;0;0;0;.00nan;0;0
24573;86697;30;35;15;4;11;.733;3556000;0
24574;320;21;0;0;0;0;.00nan;0;0
24574;162029;4182;0;0;0;0;.00nan;0;0
24574;3284;21;80;35;3;32;.914;3600000;0
24574;172340;4182;84;30;2;28;.933;3600000;0
24575;165723;32;0;0;0;0;.00nan;0;0
24575;20432;32;91;42;3;39;.929;3600000;0
24575;179452;27;0;0;0;0;.00nan;0;0
24575;175660;27;38;24;4;20;.833;3544000;0
24576;3928;15;77;23;1;22;.957;3600000;0
24576;163195;15;0;0;0;0;.00nan;0;0
24576;194416;17;0;0;0;0;.00nan;0;0
24576;178413;17;62;34;4;30;.882;3600000;0
24577;175084;22;96;19;0;19;1.000;3600000;0
24577;184770;22;0;0;0;0;.00nan;0;0
24577;-1;5;41;25;4;21;.840;3600000;0
24577;61425;5;0;0;0;0;.00nan;0;0
24578;183859;23;0;0;0;0;.00nan;0;0
24578;77955;28;0;0;0;0;.00nan;0;0
24578;78573;23;34;39;6;33;.846;4200000;0
24578;85437;28;47;45;6;39;.867;4196000;0
24579;166646;0;0;0;0;0;.00nan;0;0
24579;183844;29;0;0;0;0;.00nan;0;0
24579;173699;29;79;32;3;29;.906;3600000;0
24579;59540;0;60;31;4;27;.871;3580000;0
