Game Id;Date Year;Date Month;Date Day;Arena;Attendance;Team Home;Team Away;Score Home;Score Away;Score Home P1;Score Home P2;Score Home P3;Score Home OT;Score Home SO;Score Away P1;Score Away P2;Score Away P3;Score Away OT;Score Away SO;Star 1;Star 2;Star 3;Shots Home;Shots Away;PIM Home;PIM Away;Hits Home;Hits Away;GA Home;GA Away;TA Home;TA Away;FOW Home;FOW Away;SOG Home P1;SOG Home P2;SOG Home P3;SOG Home OT;SOG Away P1;SOG Away P2;SOG Away P3;SOG Away OT;PPG Home;PPO Home;PPG Away;PPO Away;Type;SQ0 Home;SQ1 Home;SQ2 Home;SQ3 Home;SQ4 Home;SQ0 Away;SQ1 Away;SQ2 Away;SQ3 Away;SQ4 Away
21;2033;10;1;Wells Fargo Center;18689;14;21;2;4;0;0;2;0;0;1;1;2;0;0;47107;708;38304;65;54;6;6;17;15;8;7;5;8;36;26;7;10;12;0;6;12;7;0;0;3;0;3;Regular Season;4;30;11;13;7;10;26;12;5;1
22;2033;10;1;TD Garden;16623;5;31;5;4;3;0;2;0;0;2;1;1;0;0;57335;74661;91204;54;61;4;4;11;24;11;7;6;5;29;28;11;4;8;0;12;21;4;0;0;2;0;2;Regular Season;12;25;6;8;3;7;22;17;9;6
23;2033;10;1;KeyBank Center;14957;17;25;2;3;0;2;0;0;0;1;1;1;0;0;2949;85031;167046;53;76;11;5;25;30;5;2;5;6;24;36;3;14;9;0;21;11;13;0;0;0;1;3;Regular Season;8;25;11;7;2;7;43;14;9;3
24;2033;10;1;PNC Arena;14316;24;30;6;4;2;2;2;0;0;1;3;0;0;0;38265;31472;67718;63;67;8;6;19;23;2;9;7;6;26;33;13;7;17;0;13;29;4;0;2;3;0;4;Regular Season;6;26;23;5;3;9;30;15;10;3
25;2033;10;1;Canadian Tire Centre;14650;28;16;2;5;1;1;0;0;0;3;1;1;0;0;169476;165214;57195;56;69;4;0;16;6;8;7;7;10;25;29;12;6;15;0;17;13;13;0;0;0;0;2;Regular Season;6;31;10;7;2;6;33;14;14;2
26;2033;10;1;Capital One Arena;18512;22;0;2;5;0;0;2;0;0;2;2;1;0;0;91655;170749;91178;75;49;4;2;22;28;3;3;6;8;23;28;8;13;24;0;10;7;9;0;1;1;0;2;Regular Season;9;39;12;14;1;8;20;14;6;1
27;2033;10;1;Xcel Energy Center;14325;35;4182;4;3;2;1;1;0;0;1;0;2;0;0;84956;161392;164269;63;58;8;6;19;13;5;5;3;7;30;24;16;7;13;0;10;10;10;0;2;3;1;4;Regular Season;8;26;13;12;4;6;32;11;8;1
28;2033;10;1;Rogers Arena;16100;18;23;5;0;2;1;2;0;0;0;0;0;0;0;85447;81682;175;59;54;9;13;25;20;15;11;8;9;33;25;7;13;10;0;8;9;8;0;1;4;0;2;Regular Season;10;28;12;6;3;12;17;14;10;1
29;2033;10;1;Crypto.com Arena;17776;11;8;3;4;2;0;1;0;0;1;2;1;0;0;18214;78567;36656;67;65;23;6;25;13;5;0;8;7;30;33;14;11;7;0;10;9;19;0;0;3;1;6;Regular Season;14;24;13;10;6;7;29;12;14;3
30;2033;10;1;Climate Pledge Arena;8801;4838;19;7;3;3;0;4;0;0;2;0;1;0;0;77074;75103;173872;60;75;10;18;27;20;5;4;13;7;25;36;11;3;11;0;14;18;12;0;0;4;2;5;Regular Season;13;28;11;7;1;6;35;16;16;2
31;2033;10;1;SAP Center;16639;27;15;3;1;0;0;3;0;0;1;0;0;0;0;78803;22345;87153;53;60;11;24;23;29;5;7;5;6;19;31;3;13;12;0;11;10;7;0;0;4;0;3;Regular Season;10;26;2;10;5;9;31;10;6;4
32;2033;10;2;Scotiabank Arena;18421;3;31;3;2;1;2;0;0;0;1;1;0;0;0;85524;77073;91427;64;70;6;6;16;10;6;1;6;5;23;22;16;8;6;0;6;15;7;0;1;3;0;3;Regular Season;9;30;11;10;4;20;21;14;13;2
33;2033;10;2;Scotiabank Saddledome;11127;19;15;3;2;0;0;2;1;0;1;0;1;0;0;78579;85680;14305;49;62;6;4;16;18;9;6;9;5;26;33;4;3;13;1;20;16;8;0;0;2;1;3;Regular Season;5;26;8;8;2;5;29;15;8;5
34;2033;10;3;Wells Fargo Center;16423;14;5;1;4;1;0;0;0;0;2;0;2;0;0;11770;36755;85789;71;39;8;6;17;12;3;2;3;4;29;19;14;16;13;0;7;2;7;0;0;3;0;4;Regular Season;7;34;12;13;5;10;14;9;4;2
35;2033;10;3;Madison Square Garden;13833;10;29;3;0;1;2;0;0;0;0;0;0;0;0;69536;91183;167030;54;70;14;12;20;16;7;7;7;4;32;33;7;14;8;0;14;13;14;0;2;6;0;7;Regular Season;8;22;8;15;1;5;39;16;10;0
36;2033;10;3;Prudential Center;15558;21;12;2;1;1;0;0;1;0;0;0;1;0;0;146358;7991;84965;64;65;2;6;25;16;4;9;5;10;24;32;9;6;14;2;14;9;12;0;0;3;0;1;Regular Season;10;29;15;9;1;8;27;13;10;7
37;2033;10;3;Canadian Tire Centre;12882;28;25;3;6;1;2;0;0;0;2;0;4;0;0;2949;167046;38274;58;54;6;10;27;17;4;3;3;1;31;31;4;16;9;0;19;5;9;0;2;5;3;3;Regular Season;10;19;14;15;0;7;26;11;6;4
38;2033;10;3;UBS Arena;17113;20;30;2;3;1;0;1;0;0;0;1;1;0;1;37584;28823;36674;84;53;6;6;26;22;8;7;12;5;33;31;15;12;11;8;6;5;5;3;0;3;1;3;Regular Season;13;42;15;16;3;20;16;14;7;1
39;2033;10;4;Bell Centre;20664;0;31;1;3;0;0;1;0;0;0;2;1;0;0;79111;19695;13164;53;68;4;2;22;19;3;5;3;8;31;24;10;4;9;0;8;13;17;0;0;1;0;2;Regular Season;12;24;11;5;1;11;33;11;8;5
40;2033;10;4;KeyBank Center;13277;17;16;0;3;0;0;0;0;0;1;2;0;0;0;20760;31432;3382;53;57;4;4;23;23;10;0;5;6;34;27;6;11;8;0;12;17;11;0;0;2;1;2;Regular Season;12;18;16;5;2;2;32;11;10;2
41;2033;10;4;Nationwide Arena;13297;34;23;2;3;2;0;0;0;0;1;0;2;0;0;86059;33115;58247;62;59;8;9;19;24;8;1;12;10;34;22;13;10;10;0;15;4;11;0;1;3;0;4;Regular Season;10;27;18;5;2;5;32;8;11;3
