TeamId;GP;G;GA;S;SA;FO%;SB;H;TkA;GvA;InD;PIM/G;PP Ch;PPG;SH GA;SH Ch;PP GA;SHG;Att Total Home;Att Total Away;Att Avg Home;Att Avg Away;Sellouts Home;Sellouts Away;Capacity Use %
3796;21;58;95;582;702;48.2;357;415;119;101;0;17.86;133;19;4;138;35;3;22951;17702;2086;1770;0;0;69
3797;21;74;53;656;602;50.6;326;463;113;93;0;19.57;150;23;2;151;17;3;20033;16012;1669;1779;0;0;67
3798;22;79;79;676;678;52.3;314;425;99;97;0;17.91;124;15;2;117;25;1;21865;19018;1987;1728;0;0;66
3800;21;71;76;659;673;49.7;313;416;99;94;0;18.29;122;22;3;117;22;0;23567;16226;2142;1622;0;0;67
3913;40;104;89;1293;1143;48.2;575;759;209;198;0;8.25;125;17;3;129;16;2;90854;31180;4542;1559;0;0;63
3916;25;73;74;785;821;48.8;387;524;114;113;0;12.16;81;12;1;85;12;1;85520;61451;6578;5120;0;0;60
3922;35;61;123;739;1244;43.3;703;686;237;200;0;12.14;142;17;1;162;29;3;4403;16485;259;915;0;0;24
3923;27;82;127;691;1145;50.3;543;418;137;85;0;9.78;92;21;1;103;23;1;9809;18824;700;1448;0;0;41
3965;30;87;73;945;977;51.5;422;539;189;180;0;8.53;102;29;1;116;14;0;5556;44845;370;2989;0;0;55
4182;40;134;97;1379;1132;48.0;552;937;209;245;0;7.58;141;24;3;128;25;2;246072;299404;14474;13017;0;0;83
4245;30;99;68;1098;782;49.3;370;600;195;178;0;11.43;167;37;1;140;18;4;116434;72415;8316;4525;0;0;68
4246;24;90;108;744;827;50.0;377;427;141;111;0;11.92;93;24;3;98;30;3;15079;55632;1884;3477;0;0;60
4247;27;79;79;739;913;53.2;428;471;127;125;0;9.56;124;25;4;106;10;4;43894;63807;3135;4908;1;0;90
4337;17;70;71;465;612;47.8;258;302;91;86;0;13.12;64;17;1;67;12;2;1006;3179;125;353;0;0;25
4535;34;104;82;1011;946;51.9;509;637;217;185;0;13.71;146;28;2;125;20;1;33617;38981;1867;2436;0;0;47
4538;35;136;138;1128;1190;48.3;585;687;131;132;0;10.54;132;24;4;138;39;1;4769;24015;264;1412;0;4;26
4560;35;63;117;813;1327;48.7;631;672;210;209;0;13.54;135;11;4;174;41;3;6863;14172;403;787;0;0;73
4619;32;128;89;1270;847;50.2;418;613;168;165;0;11.31;140;27;3;147;18;6;51207;96070;3200;6004;0;0;61
4620;35;110;79;1198;975;51.1;489;697;165;189;0;11.77;156;28;5;132;19;3;63719;91160;4551;4340;0;0;72
4635;20;91;57;802;494;49.7;267;433;115;86;0;15.75;132;39;1;120;12;5;8883;21127;987;1920;0;0;66
4636;39;76;102;1054;1222;54.1;607;674;252;220;0;9.85;150;18;3;144;20;3;28623;21125;1301;1242;0;0;37
4644;29;76;90;828;989;52.5;524;568;136;112;0;10.31;98;17;1;108;19;1;39639;17834;2642;1273;0;0;47
4714;25;101;83;854;687;53.2;324;516;158;100;0;13.88;122;29;2;92;16;0;44589;56473;4954;3529;0;0;66
4715;26;105;95;893;717;49.2;343;478;115;100;0;13.92;105;19;1;123;27;5;38766;34158;2584;3105;0;4;86
4742;32;136;98;1076;853;55.2;434;503;180;131;0;21.22;119;29;1;125;21;3;11838;9762;739;610;0;0;41
4794;20;77;77;677;611;51.0;330;391;93;81;0;16.45;100;21;2;118;29;3;2269;3008;206;334;0;0;52
4837;28;92;59;1090;714;55.1;367;567;130;128;0;12.18;130;22;2;133;18;1;60684;73600;4334;5257;0;0;44
4838;36;125;103;1261;1065;50.0;587;789;221;237;0;9.39;114;30;0;113;21;3;228226;228143;12011;13420;0;3;79
4839;24;86;96;645;878;48.1;452;424;114;93;0;10.88;75;22;1;95;18;1;34892;30005;2684;2727;0;0;77
4840;24;39;101;462;1159;49.3;535;373;109;86;0;10.92;87;13;3;100;18;2;6600;14071;660;1005;0;0;47
4849;18;37;74;472;717;50.5;322;326;80;83;0;9.61;60;4;2;65;14;2;14348;30212;2049;2746;0;0;39
4864;41;83;110;1229;1295;49.8;604;760;265;216;0;8.49;140;21;1;140;28;3;6170;38536;293;1926;0;0;59
4919;26;104;86;819;766;50.2;370;532;139;92;0;12.85;124;28;3;104;15;5;48666;34937;4424;2329;4;0;94
4920;33;124;65;1304;809;50.4;359;607;187;147;0;13.33;140;34;1;145;16;2;46566;61532;3104;3418;0;0;71
4921;33;101;98;954;1141;47.3;575;529;191;184;0;11.61;168;24;5;153;21;5;29184;81539;2084;4291;0;0;41
4922;30;76;98;772;1079;48.9;558;521;178;156;0;11.93;110;13;2;117;20;2;49883;74111;3837;4359;0;0;40
4923;41;104;123;1141;1404;52.0;648;781;208;209;0;9.56;141;28;2;135;20;0;106286;30970;5061;1548;0;0;42
4924;41;89;104;1107;1338;49.4;698;797;226;238;0;10.15;136;19;3;151;30;2;2824;29158;122;1619;0;0;12
4949;42;150;129;1596;1201;50.5;623;868;181;194;0;8.26;149;26;4;137;28;2;6109;52971;305;2407;0;0;31
4959;41;125;95;1272;1218;50.7;617;671;232;254;0;10.10;135;25;1;146;24;5;24033;33542;1201;1597;0;0;48
4960;41;121;85;1393;1047;54.7;545;741;208;200;0;7.76;150;29;1;115;14;2;3384;20993;178;954;0;0;59
4961;30;111;89;1069;812;46.9;400;600;130;117;0;20.30;131;25;3;110;16;3;4719;8351;314;556;0;0;31
4989;41;70;98;952;1321;47.8;631;751;203;202;0;10.15;134;11;0;148;18;5;6309;31038;300;1551;0;0;14
4991;27;87;87;824;791;49.3;380;626;138;106;0;17.07;108;19;0;118;18;1;50387;45575;3599;3505;0;0;40
4992;23;95;72;798;686;49.1;284;489;98;93;0;11.26;82;16;4;71;13;2;29016;18383;1813;2626;0;0;34
4997;23;92;88;662;713;49.3;388;421;108;100;0;13.17;99;20;0;87;17;0;86493;26068;5405;3724;0;0;59
4998;25;72;127;669;1005;49.5;478;542;113;96;0;16.72;83;12;5;102;24;4;31695;22975;2263;2088;0;0;60
5004;35;64;111;774;1271;48.4;700;659;187;177;0;10.06;101;13;4;123;26;3;22388;49149;1316;2730;0;0;25
5013;20;71;71;615;740;53.2;357;284;87;96;0;15.10;107;25;2;109;17;3;3423;3394;380;308;0;0;76
