PlayerId;TeamId;FranchiseId;Games Played;Minutes Played;Wins;Losses;OT;Shots Against;Saves;Goals Against;Goals Against Average;Shutouts;Save Percentage;Game Rating
193041;472;472;2;120;2;0;0;47;46;1;0.50;1;.979;86
167036;515;515;3;188;3;0;0;79;77;2;0.64;1;.975;83
4379;1422;1422;5;309;4;0;1;111;99;12;2.33;0;.892;59
4484;574;574;1;60;0;1;0;41;37;4;4.00;0;.902;63
4487;4920;4920;1;65;0;0;1;31;29;2;1.85;0;.935;81
167061;2190;2190;4;244;1;2;1;130;119;11;2.70;0;.915;71
4618;523;523;3;180;3;0;0;84;74;10;3.33;0;.881;58
5311;42;8;1;64;1;0;0;34;30;4;3.73;0;.882;69
5354;894;894;3;178;1;2;0;96;87;9;3.02;0;.906;65
5565;843;839;3;188;1;1;1;137;127;10;3.18;0;.927;81
5573;2488;2488;3;189;1;0;2;64;58;6;1.90;0;.906;60
162945;885;885;6;276;2;2;1;158;147;11;2.39;0;.930;68
5663;848;848;1;60;1;0;0;34;32;2;2.00;0;.941;83
162979;548;548;4;238;2;2;0;136;120;16;4.03;0;.882;66
177504;1869;1869;3;157;1;2;0;94;85;9;3.44;0;.904;67
5923;4742;4742;4;239;1;3;0;116;100;16;4.01;0;.862;55
5997;712;712;3;172;0;3;0;100;85;15;5.22;0;.850;50
6079;733;733;3;145;0;3;0;94;80;14;5.78;0;.851;45
6084;829;829;2;102;0;1;0;55;49;6;3.50;0;.891;60
177519;3922;3922;4;238;1;3;0;126;111;15;3.77;0;.881;55
6127;565;565;3;163;1;1;0;88;82;6;2.20;0;.932;72
6389;545;545;4;240;4;0;0;116;110;6;1.50;0;.948;82
163177;425;425;1;60;1;0;0;7;6;1;1.00;0;.857;51
172279;3922;3922;3;184;2;0;1;88;83;5;1.63;0;.943;79
163195;4921;4921;1;60;0;1;0;36;32;4;4.00;0;.889;54
6541;550;550;5;239;2;2;1;113;100;13;3.26;0;.885;61
182891;635;635;3;180;2;1;0;132;122;10;3.33;0;.924;76
6603;2591;2591;4;239;3;1;0;109;101;8;2.00;0;.927;70
163228;429;429;1;60;0;1;0;39;35;4;4.00;0;.897;64
6868;754;754;3;180;1;2;0;121;110;11;3.67;0;.909;73
6944;520;520;3;179;2;1;0;71;63;8;2.68;0;.887;56
6947;1872;1872;2;124;1;1;0;57;52;5;2.41;0;.912;74
6948;524;524;3;183;1;2;0;103;93;10;3.26;1;.903;72
172340;48;4182;1;27;0;1;0;27;21;6;12.90;0;.778;28
6998;2161;2161;3;188;2;1;0;118;112;6;1.91;0;.949;82
163361;2164;2164;6;322;0;5;1;242;220;22;4.09;0;.909;73
163423;26;26;4;191;2;1;0;88;81;7;2.20;0;.920;66
7412;585;585;2;98;1;0;0;49;44;5;3.06;0;.898;68
163462;58;58;1;60;1;0;0;41;40;1;1.00;0;.976;98
163471;37;37;1;60;1;0;0;41;39;2;2.00;0;.951;100
7534;1481;1481;5;303;3;1;1;184;177;7;1.38;2;.962;85
7624;874;874;4;184;2;1;0;81;72;9;2.93;0;.889;57
167404;215;215;4;244;1;2;1;172;156;16;3.93;0;.907;72
163528;682;682;3;177;1;2;0;73;68;5;1.69;1;.932;74
163565;19;19;2;118;0;2;0;81;74;7;3.54;0;.914;69
177631;1813;1813;2;119;1;1;0;57;50;7;3.50;0;.877;55
8035;522;522;2;119;1;1;0;52;45;7;3.53;0;.865;54
8073;521;521;4;190;3;0;0;89;85;4;1.26;0;.955;72
8101;897;897;2;120;1;1;0;58;55;3;1.50;0;.948;81
8107;780;780;4;238;2;2;0;120;111;9;2.26;0;.925;73
163695;9;9;4;240;3;1;0;115;110;5;1.25;1;.957;84
163784;77;77;1;59;0;1;0;19;18;1;1.01;0;.947;61
167480;503;503;3;153;1;1;1;92;85;7;2.74;0;.924;75
8424;28;28;3;179;2;1;0;92;88;4;1.34;0;.957;84
8426;629;629;4;244;3;1;0;118;107;11;2.70;0;.907;63
8478;714;714;4;239;2;1;1;133;122;11;2.75;0;.917;79
167492;4337;4337;3;170;2;1;0;88;77;11;3.88;0;.875;57
8487;776;776;6;306;2;3;0;161;146;15;2.94;1;.907;66
8501;836;836;2;110;0;2;0;80;71;9;4.88;0;.888;70
8504;746;746;5;300;5;0;0;116;109;7;1.40;2;.940;77
8505;764;764;3;185;1;1;1;79;75;4;1.30;1;.949;84
8942;639;639;4;183;0;2;1;129;112;17;5.54;0;.868;54
163989;45;45;1;60;0;1;0;45;43;2;2.00;0;.956;93
9216;2579;2579;1;60;1;0;0;27;25;2;2.00;0;.926;65
9235;4838;4838;3;189;1;2;0;122;114;8;2.53;0;.934;90
9373;1854;1854;4;243;1;2;1;180;166;14;3.45;0;.922;79
9455;1838;1838;5;283;1;2;1;175;157;18;3.81;0;.897;67
177771;2163;2163;4;240;4;0;0;127;121;6;1.50;1;.953;86
193687;120;120;4;238;3;1;0;117;106;11;2.77;0;.906;66
10112;1423;1423;2;81;0;2;0;93;81;12;8.83;0;.871;60
10141;2167;2167;1;60;0;1;0;49;43;6;6.00;0;.878;63
164424;750;750;4;245;4;0;0;72;67;5;1.22;1;.931;65
172714;457;457;1;60;1;0;0;16;13;3;3.00;0;.813;42
172723;1086;1086;1;60;1;0;0;34;31;3;3.00;0;.912;79
164521;750;750;3;184;0;2;1;105;94;11;3.57;0;.895;71
