Game Id;Period;Time;Scorer;Assist 1;Assist 2;TeamId;Note;SQ
24;3;570;67718;84963;147344;24;SH;3
25;1;586;165214;23778;31432;16;ES;1
25;1;623;169476;165214;;16;ES;3
25;1;983;91732;178624;;28;ES;3
25;1;992;169476;74671;18206;16;ES;4
25;2;1101;31567;85795;178447;28;ES;3
25;2;1169;77076;75265;169476;16;ES;1
25;3;782;169476;165214;57195;16;ES;2
26;1;74;37058;91655;85003;0;ES;1
26;1;952;85219;20084;91655;0;ES;2
26;2;512;1302;170749;;0;ES;1
26;2;563;1302;78805;19695;0;ES;3
26;3;394;64730;57592;36652;22;ES;3
26;3;776;12641;14146;78568;22;PP;1
26;3;855;168246;31454;;0;ES;1
27;1;171;91644;3177;165314;35;PP;3
27;1;199;161392;168531;10295;4182;ES;1
27;1;1180;62300;79028;84956;35;ES;1
27;2;919;79107;85827;3177;35;PP;1
27;3;544;58287;168531;161392;4182;ES;3
27;3;774;142952;77083;164269;35;ES;4
27;3;997;161392;11750;74943;4182;PP;1
28;1;752;78619;173556;177176;18;PP;4
28;1;938;78577;164471;6128;18;ES;1
28;2;868;85447;175;81682;18;ES;1
28;3;165;85447;81682;175;18;ES;1
28;3;795;57589;79025;177176;18;ES;2
29;1;463;78804;79103;56199;11;ES;4
29;1;684;78567;149513;32996;11;ES;1
29;1;734;36656;78463;11983;8;ES;4
29;2;414;558;65061;;8;ES;1
29;2;1191;38057;11983;;8;PP;3
29;3;953;57709;148513;18214;8;ES;2
29;3;1088;74916;91739;78567;11;SH;1
30;1;910;21662;75103;85759;4838;ES;4
30;1;1010;58832;78579;288;19;PP;3
30;1;1088;79250;91648;86280;19;ES;4
30;1;1141;33231;77074;;4838;ES;1
30;1;1182;66828;173872;85759;4838;ES;3
30;3;75;14137;165557;;4838;ES;1
30;3;321;18330;91648;;19;PP;4
30;3;661;14137;7319;;4838;SH;1
30;3;844;65145;77074;12503;4838;ES;2
30;3;1123;66828;173872;165557;4838;ES;3
31;1;904;22345;85680;1268;15;ES;4
31;3;161;57572;34741;13921;27;ES;3
31;3;1090;82;87153;78803;27;ES;3
31;3;1130;79273;78803;;27;ES;3
32;1;1118;16544;18992;;3;PP;4
32;1;1141;77073;85788;89779;31;ES;4
32;2;507;179118;179571;;31;ES;2
32;2;619;91427;85524;165406;3;ES;3
