PlayerId;TeamId;FranchiseId;Games Played;Minutes Played;Wins;Losses;OT;Shots Against;Saves;Goals Against;Goals Against Average;Shutouts;Save Percentage;Game Rating
49900;736;736;31;1829;13;16;1;1049;958;91;2.98;2;.913;72
49935;2168;2168;50;2993;29;17;4;1691;1569;122;2.44;6;.928;77
-1;433;433;8;441;3;4;0;189;167;22;2.99;0;.884;57
50065;16;16;27;1540;12;9;4;735;655;80;3.12;1;.891;61
50683;579;579;17;942;6;11;0;534;462;72;4.58;0;.865;56
-1;215;215;27;1404;9;15;1;779;694;85;3.63;1;.891;61
-1;178;178;22;1211;10;7;3;656;602;54;2.67;2;.918;69
51328;1809;1809;34;1985;6;25;2;1204;1078;126;3.81;1;.895;64
-1;177;177;13;735;8;4;0;348;316;32;2.61;0;.908;65
52204;752;752;44;2645;18;24;2;1640;1504;136;3.08;4;.917;74
53830;457;457;17;974;8;8;0;500;439;61;3.76;0;.878;59
53861;578;578;34;2039;15;17;2;1086;1003;83;2.44;1;.924;73
53867;833;833;30;1762;12;14;3;993;901;92;3.13;0;.907;69
53870;490;490;12;408;2;3;0;277;255;22;3.23;1;.921;63
53879;584;584;6;311;3;2;0;155;135;20;3.85;0;.871;54
54017;847;847;7;272;2;3;0;146;131;15;3.30;0;.897;62
54658;719;719;27;1628;8;17;2;900;807;93;3.43;1;.897;66
54860;560;560;27;1550;13;12;1;883;812;71;2.75;4;.920;74
55802;887;887;31;1810;19;11;1;919;822;97;3.22;2;.894;65
55918;720;720;25;1411;11;12;2;745;664;81;3.44;0;.891;60
55932;720;720;6;306;1;3;0;184;163;21;4.11;0;.886;61
56058;1426;1426;35;1972;12;17;4;1167;1040;127;3.86;0;.891;65
56126;575;575;12;726;7;4;1;298;275;23;1.90;2;.923;75
56231;2173;2173;14;662;2;5;3;416;380;36;3.26;0;.913;65
56296;481;481;26;1590;19;5;2;698;625;73;2.75;3;.895;65
56306;978;978;19;1072;7;8;3;649;588;61;3.41;1;.906;69
56316;612;612;32;1880;25;6;1;765;697;68;2.17;4;.911;68
56480;2632;2632;14;638;7;5;0;334;288;46;4.32;0;.862;53
56565;745;745;49;2929;25;21;3;1675;1539;136;2.79;6;.919;76
56611;721;721;16;878;5;6;3;523;482;41;2.80;0;.922;72
56653;1923;1923;9;540;5;3;1;278;235;43;4.77;0;.845;48
56901;2259;2259;13;765;5;6;2;496;447;49;3.84;0;.901;66
57152;4635;4635;6;363;3;2;1;185;169;16;2.64;1;.914;74
57155;167;167;13;751;7;3;2;385;356;29;2.31;0;.925;76
57207;152;152;26;1566;15;9;2;712;650;62;2.38;4;.913;72
57215;74;74;35;2078;21;13;1;1053;963;90;2.60;3;.915;71
57338;35;35;40;2391;16;17;6;1303;1186;117;2.94;0;.910;68
57340;3797;3797;1;50;1;0;0;53;52;1;1.18;0;.981;98
57390;1472;1472;22;1299;6;14;2;680;617;63;2.91;0;.907;68
57426;879;879;17;1003;10;5;2;428;386;42;2.51;1;.902;65
57434;36;36;5;255;2;1;1;139;129;10;2.35;0;.928;69
57564;4247;4247;16;904;9;4;2;458;421;37;2.45;2;.919;70
57657;838;838;14;851;5;6;3;474;432;42;2.96;0;.911;72
57695;42;42;15;916;13;1;1;370;345;25;1.64;2;.932;75
57859;883;883;11;658;6;5;0;318;291;27;2.46;1;.915;70
57993;746;746;4;244;2;1;1;109;97;12;2.94;0;.890;62
57998;85;85;27;1591;13;10;4;890;801;89;3.36;2;.900;68
58037;3789;3789;18;1068;12;6;0;532;489;43;2.41;1;.919;72
58054;37;37;17;1020;10;6;1;528;496;32;1.88;3;.939;83
58100;56;56;33;1923;13;18;2;1170;1075;95;2.96;4;.919;76
58112;638;638;6;252;2;2;1;125;108;17;4.04;1;.864;52
58830;3796;3796;8;451;3;4;1;256;224;32;4.25;0;.875;59
58856;3796;3796;12;596;4;5;1;358;326;32;3.22;0;.911;69
59025;875;875;14;750;5;8;1;418;375;43;3.44;0;.897;63
59231;4714;4714;28;1669;17;9;2;788;699;89;3.20;2;.887;62
59540;15;15;30;1827;21;7;2;709;644;65;2.13;5;.908;68
59592;80;80;1;59;0;1;0;43;41;2;2.03;0;.953;98
59614;514;514;31;1872;20;9;2;764;706;58;1.86;7;.924;71
59933;551;551;10;514;3;3;2;249;223;26;3.03;0;.896;60
60773;1095;47;17;831;3;10;0;510;459;51;3.68;0;.900;64
61272;752;752;7;323;2;1;2;200;188;12;2.22;0;.940;75
61425;712;712;15;841;8;5;2;386;355;31;2.21;3;.920;71
61683;644;644;2;102;1;0;0;50;45;5;2.92;0;.900;61
61999;1922;1922;13;803;7;4;2;382;337;45;3.36;0;.882;61
62060;794;794;32;1887;8;20;4;1129;1021;108;3.43;2;.904;68
62279;1814;1814;8;458;4;4;0;250;226;24;3.14;1;.904;70
62530;994;994;34;2056;14;16;4;1200;1097;103;3.01;1;.914;73
62884;2529;2529;21;1211;7;12;2;629;554;75;3.71;0;.881;57
62975;834;834;27;1552;15;9;1;833;760;73;2.82;0;.912;71
63107;480;480;35;2106;22;10;3;1034;941;93;2.65;2;.910;71
63402;1477;1477;38;2288;29;8;1;978;911;67;1.76;7;.931;74
63529;1497;1497;39;2312;11;25;2;1326;1206;120;3.11;1;.910;70
63551;892;892;24;1435;13;8;3;673;614;59;2.47;2;.912;69
63707;500;500;2;125;2;0;0;65;62;3;1.44;0;.954;87
63848;521;521;14;779;5;5;3;336;298;38;2.92;1;.887;58
63932;772;772;21;1272;9;7;5;618;565;53;2.50;4;.914;69
64116;626;626;9;525;6;1;1;229;201;28;3.20;1;.878;58
64230;522;522;19;1031;8;10;0;543;488;55;3.20;1;.899;64
64722;38;38;15;854;8;6;0;424;383;41;2.88;0;.903;66
64734;3800;3800;4;151;3;0;0;83;77;6;2.37;0;.928;67
64736;3800;3800;21;1231;4;14;2;763;678;85;4.14;0;.889;66
64800;568;568;35;2117;25;10;0;836;765;71;2.01;7;.915;70
64811;72;43;14;831;9;3;1;340;313;27;1.95;0;.921;69
64911;59;59;9;545;7;1;1;203;177;26;2.86;1;.872;56
64923;568;568;6;358;3;3;0;158;139;19;3.18;0;.880;57
