TeamId;LeagueId;Name;Nickname;Abbr;Parent Team 1;Parent Team 2;Parent Team 3;Parent Team 4;Parent Team 5;Parent Team 6;Parent Team 7;Parent Team 8;Primary Color;Secondary Color;Text Color;Conference Id;Division Id
4297;221;EC Red Bull Salzburg;U18;RBS18;472;463;2171;-1;-1;-1;-1;-1;#0a3064;#db0a40;#fefef4;0;-1
4299;221;EC KAC;U18;KAC18;476;-1;3930;-1;-1;-1;-1;-1;#ff0000;#fc0101;#fefef4;0;-1
4304;249;RB Hockey Akademie (Int);U18;RB;472;2171;463;631;-1;-1;-1;-1;#0a3064;#db0a40;#fefef4;-1;-1
4305;228;Dinamo Molodechno;U20;MOL20;2591;-1;-1;-1;-1;-1;-1;-1;#00296b;#6496bf;#fefef4;-1;-1
4306;228;HK Brest;U20;BRE20;496;-1;-1;-1;-1;-1;-1;-1;#049343;#da221b;#fefef4;-1;-1
4307;228;HK Gomel;U20;GOM20;495;-1;-1;-1;-1;-1;-1;-1;#000000;#ed1c24;#fefef4;-1;-1
4308;228;HK Lida;U20;LID20;497;-1;-1;-1;-1;-1;-1;-1;#ec0c14;#00205b;#fefef4;-1;-1
4309;228;HK Mogilev;U20;MOG20;499;-1;-1;-1;-1;-1;-1;-1;#8d30a8;#be8a03;#fefef4;-1;-1
4310;228;Khimik-SKA Novopolotsk;U20;NOV20;498;-1;-1;-1;-1;-1;-1;-1;#044e9c;#044e9c;#fefef4;-1;-1
4311;228;Metallurg Zhlobin;U20;ZHL20;500;-1;-1;-1;-1;-1;-1;-1;#0000bd;#e21d24;#fefef4;-1;-1
4312;228;Neman Grodno;U20;GRO20;502;-1;-1;-1;-1;-1;-1;-1;#f10000;#000000;#fefef4;-1;-1
4313;228;Shakhter Soligorsk;U20;SOL20;503;-1;-1;-1;-1;-1;-1;-1;#ec5d19;#000000;#fefef4;-1;-1
4314;228;Yunost Minsk;U20;MIN20;505;-1;-1;-1;-1;-1;-1;-1;#ef0b02;#0d0b9e;#fefef4;-1;-1
4315;229;ComArch Cracovia;U14;CRA;718;-1;-1;-1;-1;-1;-1;-1;#f10a0a;#f10a0a;#fefef4;-1;-1
4316;229;KH GKS Tauron Katowice;U14;KAT;2188;-1;-1;-1;-1;-1;-1;-1;#097740;#000000;#fefef4;-1;-1
4317;229;GKS Tychy;U14;TYC;716;-1;-1;-1;-1;-1;-1;-1;#000000;#23a23a;#bfa15d;-1;-1
4318;229;KH Podhale Nowy Targ;U14;POD;2529;-1;-1;-1;-1;-1;-1;-1;#09448c;#d82533;#fec931;-1;-1
4319;229;Stoczniowiec Gdansk;U14;STO;1881;-1;-1;-1;-1;-1;-1;-1;#0000ff;#0000ff;#fefef4;-1;-1
4320;229;Niedzwiadki Sanok;U14;SAN;715;-1;-1;-1;-1;-1;-1;-1;#0161ab;#e6393f;#fefef4;-1;-1
4321;229;Polonia Bytom;U14;POL;2527;-1;-1;-1;-1;-1;-1;-1;#cc0000;#00518f;#e3b758;-1;-1
4322;230;ComArch Cracovia;U16;CRA;718;-1;-1;-1;-1;-1;-1;-1;#f10a0a;#f10a0a;#fefef4;-1;-1
4323;230;KH GKS Tauron Katowice;U16;KAT;2188;-1;-1;-1;-1;-1;-1;-1;#097740;#000000;#fefef4;-1;-1
4324;230;GKS Tychy;U16;TYC;716;-1;-1;-1;-1;-1;-1;-1;#000000;#23a23a;#bfa15d;-1;-1
4325;230;KH Podhale Nowy Targ;U16;POD;2529;-1;-1;-1;-1;-1;-1;-1;#09448c;#d82533;#fec931;-1;-1
4326;230;Stoczniowiec Gdansk;U16;STO;1881;-1;-1;-1;-1;-1;-1;-1;#0000ff;#0000ff;#fefef4;-1;-1
4327;230;Niedzwiadki Sanok;U16;SAN;715;-1;-1;-1;-1;-1;-1;-1;#0161ab;#e6393f;#fefef4;-1;-1
4328;230;Polonia Bytom;U16;POL;2527;-1;-1;-1;-1;-1;-1;-1;#cc0000;#00518f;#e3b758;-1;-1
4329;231;ComArch Cracovia;U18;CRA;718;-1;-1;-1;-1;-1;-1;-1;#f10a0a;#f10a0a;#fefef4;-1;-1
4330;231;KH GKS Tauron Katowice;U18;KAT;2188;-1;-1;-1;-1;-1;-1;-1;#097740;#000000;#fefef4;-1;-1
4331;231;MOSM Tychy;U18;TYC;716;-1;-1;-1;-1;-1;-1;-1;#000000;#23a23a;#bfa15d;-1;-1
4332;231;KH Podhale Nowy Targ;U18;POD;2529;-1;-1;-1;-1;-1;-1;-1;#09448c;#d82533;#fec931;-1;-1
4333;231;Stoczniowiec Gdansk;U18;STO;1881;-1;-1;-1;-1;-1;-1;-1;#0000ff;#0000ff;#fefef4;-1;-1
4334;231;Niedzwiadki Sanok;U18;SAN;715;-1;-1;-1;-1;-1;-1;-1;#0161ab;#e6393f;#fefef4;-1;-1
4335;231;Polonia Bytom;U18;POL;2527;-1;-1;-1;-1;-1;-1;-1;#cc0000;#00518f;#e3b758;-1;-1
4336;118;Australian;State Competitions;AU2;452;2579;455;456;457;458;459;460;#00803b;#f7c700;#fefef4;-1;-1
4337;29;Central Coast;Rhinos;RHI;-1;-1;-1;-1;-1;-1;-1;-1;#000000;#23a23a;#bfa15d;1;-1
4338;213;Sanok;UKS Niedzwiadki MOSiR;SAN20;715;-1;-1;-1;-1;-1;-1;-1;#0161ab;#e6393f;#fefef4;-1;-1
4339;237;HCB Südtirol Foxes;U14;HCB;676;-1;-1;-1;-1;-1;-1;-1;#ff0000;#df0101;#fefef4;-1;-1
4340;237;Asiago Hockey;U14;ASH;675;-1;-1;-1;-1;-1;-1;-1;#c41f1d;#e3991e;#fefef4;-1;-1
4341;237;HC Fassa Falcons;U14;FAS;678;-1;-1;-1;-1;-1;-1;-1;#0000ff;#e50a36;#fefef4;-1;-1
4342;237;HC Gherdëina;U14;GHE;1101;-1;-1;-1;-1;-1;-1;-1;#f1050f;#0c4793;#fefef4;-1;-1
4343;237;HC Neumarkt;U14;HCN;-1;-1;-1;-1;-1;-1;-1;-1;#d50c13;#d50c13;#fefef4;-1;-1
4344;237;HC Pustertal Wölfe;U14;PUS;682;-1;-1;-1;-1;-1;-1;-1;#000000;#ffcc01;#fefef4;-1;-1
4345;237;Rittner Buam;U14;RIT;680;-1;-1;-1;-1;-1;-1;-1;#cf0301;#000000;#fefef4;-1;-1
4346;237;SG Cortina;U14;SGC;677;-1;-1;-1;-1;-1;-1;-1;#00659f;#0000ff;#fefef4;-1;-1
4347;237;WSV Sterzing Broncos;U14;WSV;1106;-1;-1;-1;-1;-1;-1;-1;#0e2e75;#000000;#fefef4;-1;-1
4348;238;HCB Foxes Academy;U15;HCB15;676;-1;-1;-1;-1;-1;-1;-1;#ff0000;#df0101;#fefef4;-1;-1
4349;238;Asiago Junior 1935;U15;ASH15;675;-1;-1;-1;-1;-1;-1;-1;#c41f1d;#e3991e;#fefef4;-1;-1
4350;238;HC Fassa;U15;FAS15;678;-1;-1;-1;-1;-1;-1;-1;#0000ff;#e50a36;#fefef4;-1;-1
4351;238;HC Gherdëina;U15;GHE15;1101;-1;-1;-1;-1;-1;-1;-1;#f1050f;#0c4793;#fefef4;-1;-1
4352;238;HC Junior Team;U15;HCN15;-1;4722;-1;-1;-1;-1;-1;-1;#d50c13;#d50c13;#fefef4;-1;-1
4353;238;HC Pustertal Junior;U15;PUS15;682;-1;-1;-1;-1;-1;-1;-1;#000000;#ffcc01;#fefef4;-1;-1
4354;238;Kaltern-Rittner;U15;RIT15;680;1102;-1;-1;-1;-1;-1;-1;#cf0301;#000000;#fefef4;-1;-1
4355;238;Cortina-Alleghe;U15;SGC15;677;674;-1;-1;-1;-1;-1;-1;#00659f;#0000ff;#fefef4;-1;-1
4356;238;Sterzing-Brixen;U15;WSV15;1106;-1;-1;-1;-1;-1;-1;-1;#0e2e75;#000000;#fefef4;-1;-1
4357;239;HCB Foxes Junior;U17;HCB17;676;-1;-1;-1;-1;-1;-1;-1;#ff0000;#df0101;#fefef4;-1;-1
4358;239;Asiago Junior 1935;U17;ASH17;675;-1;-1;-1;-1;-1;-1;-1;#c41f1d;#e3991e;#fefef4;-1;-1
4359;239;HC Fassa;U17;FAS17;678;-1;-1;-1;-1;-1;-1;-1;#0000ff;#e50a36;#fefef4;-1;-1
4360;239;HC Gherdëina;U17;GHE17;1101;-1;-1;-1;-1;-1;-1;-1;#f1050f;#0c4793;#fefef4;-1;-1
4361;239;HC Junior Team;U17;HCN17;4722;-1;-1;-1;-1;-1;-1;-1;#d50c13;#d50c13;#fefef4;-1;-1
4362;239;HC Pustertal Junior;U17;PUS17;682;-1;-1;-1;-1;-1;-1;-1;#000000;#ffcc01;#fefef4;-1;-1
4363;239;Kaltern-Rittner;U17;RIT17;680;1102;-1;-1;-1;-1;-1;-1;#cf0301;#000000;#fefef4;-1;-1
4364;239;Cortina-Alleghe;U17;SGC17;677;674;-1;-1;-1;-1;-1;-1;#00659f;#0000ff;#fefef4;-1;-1
4365;239;Sterzing-Brixen;U17;WSV17;1106;-1;-1;-1;-1;-1;-1;-1;#0e2e75;#000000;#fefef4;-1;-1
4367;240;Asiago Junior 1935;U19;ASH19;675;-1;-1;-1;-1;-1;-1;-1;#c41f1d;#e3991e;#fefef4;-1;-1
4368;240;HC Fassa;U19;FAS19;678;-1;-1;-1;-1;-1;-1;-1;#0000ff;#e50a36;#fefef4;-1;-1
4370;240;HC Junior Team;U19;HCN19;-1;4722;-1;-1;-1;-1;-1;-1;#d50c13;#d50c13;#fefef4;-1;-1
4371;240;HC Pustertal Junior;U19;PUS19;682;-1;-1;-1;-1;-1;-1;-1;#000000;#ffcc01;#fefef4;-1;-1
4373;240;Cortina-Alleghe;U19;SGC19;677;674;-1;-1;-1;-1;-1;-1;#00659f;#0000ff;#fefef4;-1;-1
4374;240;Sterzing-Brixen;U19;WSV19;1106;-1;-1;-1;-1;-1;-1;-1;#0e2e75;#000000;#fefef4;-1;-1
4375;233;Fehérvár AV19;U14;AVS;480;-1;-1;-1;-1;-1;-1;-1;#0040ff;#0080ff;#fefef4;-1;-1
4376;233;ASC Corona Brasov;U14;BRA;665;-1;-1;-1;-1;-1;-1;-1;#0058a8;#fcd700;#fefef4;-1;-1
4377;233;CSM Dunarea Galati;U14;DUA;723;-1;-1;-1;-1;-1;-1;-1;#a81c1b;#16507e;#fefef4;-1;-1
4378;233;DVTK Jegesmedvék;U14;MIS;664;-1;-1;-1;-1;-1;-1;-1;#c40003;#a78200;#fefef4;-1;-1
4379;233;Debreceni HK;U14;DHK;-1;-1;-1;-1;-1;-1;-1;-1;#da251d;#f4f400;#fefef4;-1;-1
4380;233;Dunaújvárosi Acélbikák;U14;DUN;484;-1;-1;-1;-1;-1;-1;-1;#fb0204;#000000;#fefef4;-1;-1
4381;233;Fehérvári Titánok;U14;FEH;667;-1;-1;-1;-1;-1;-1;-1;#2a4a85;#00519e;#fefef4;-1;-1
4382;233;Ferencváros TC Budapest;U14;FER;662;-1;-1;-1;-1;-1;-1;-1;#036d2d;#a28f2b;#fefef4;-1;-1
4383;233;HK Beograd;U14;HKB;3837;-1;-1;-1;-1;-1;-1;-1;#1f195e;#df1e26;#fefef4;-1;-1
4384;233;MAC HKB Újbuda;U14;MAC;3810;-1;-1;-1;-1;-1;-1;-1;#040825;#fcb414;#fefef4;-1;-1
4385;233;SC Csíkszereda;U14;SCC;663;-1;-1;-1;-1;-1;-1;-1;#1f529b;#1f529b;#fefef4;-1;-1
4386;233;Ujpesti TE;U14;UJP;668;-1;-1;-1;-1;-1;-1;-1;#501b7f;#bd964a;#fefef4;-1;-1
4387;234;Fehérvár AV19;U16;AVS;480;-1;-1;-1;-1;-1;-1;-1;#0040ff;#0080ff;#fefef4;-1;-1
4388;234;CSM Corona Bra?ov;U16;BRA;665;-1;-1;-1;-1;-1;-1;-1;#0058a8;#fcd700;#fefef4;-1;-1
4389;234;CSM Dunarea Galati;U16;DUA;723;-1;-1;-1;-1;-1;-1;-1;#a81c1b;#16507e;#fefef4;-1;-1
4390;234;DVTK Jegesmedvék;U16;MIS;664;-1;-1;-1;-1;-1;-1;-1;#c40003;#a78200;#fefef4;-1;-1
4391;234;Debreceni HK;U16;DHK;-1;-1;-1;-1;-1;-1;-1;-1;#da251d;#f4f400;#fefef4;-1;-1
4392;234;Dunaújvárosi Acélbikák;U16;DUN;484;-1;-1;-1;-1;-1;-1;-1;#fb0204;#000000;#fefef4;-1;-1
4393;234;Fehérvári Titánok;U16;FEH;667;-1;-1;-1;-1;-1;-1;-1;#2a4a85;#00519e;#fefef4;-1;-1
4394;234;Ferencváros TC Budapest;U16;FER;662;-1;-1;-1;-1;-1;-1;-1;#036d2d;#a28f2b;#fefef4;-1;-1
4395;234;HK Beograd;U16;HKB;3837;-1;-1;-1;-1;-1;-1;-1;#1f195e;#df1e26;#fefef4;-1;-1
4396;234;MAC HKB Újbuda;U16;MAC;3810;-1;-1;-1;-1;-1;-1;-1;#040825;#fcb414;#fefef4;-1;-1
4397;234;CSM Miercurea Ciuc;U16;SCC;663;-1;-1;-1;-1;-1;-1;-1;#1f529b;#1f529b;#fefef4;-1;-1
4398;234;Ujpesti TE;U16;UJP;668;-1;-1;-1;-1;-1;-1;-1;#501b7f;#bd964a;#fefef4;-1;-1
4399;221;Fehérvár Hockey Academy 19;U18;FEHA18;480;-1;-1;-1;-1;-1;-1;-1;#172c65;#0078b9;#fefef4;1;-1
4400;235;CSM Corona Bra?ov;U18;BRA;665;-1;-1;-1;-1;-1;-1;-1;#0058a8;#fcd700;#fefef4;-1;-1
4401;235;CSM Dunarea Galati;U18;DUA;723;-1;-1;-1;-1;-1;-1;-1;#a81c1b;#16507e;#fefef4;-1;-1
4402;221;DVTK Jegesmedvék Akadémia;U18;MIS18;664;4414;-1;-1;-1;-1;-1;-1;#c40003;#a78200;#fefef4;1;-1
