PlayerId;Year;TeamId;LeagueId;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
51981;2023;449;46;3;0;0;2;-3;0;0;0;0;64;0;2;30;14;2;0;1;2;1635;513;48;0;0
52006;2026;219;14;2;0;0;2;-1;0;0;0;0;54;0;2;2;2;1;0;0;1;1386;31;122;0;0
52006;2025;219;14;1;0;0;0;0;0;0;0;0;56;0;1;1;0;0;0;0;0;361;0;171;0;0
52006;2024;219;14;3;0;1;0;1;0;0;0;0;54;0;2;15;10;0;0;0;0;1000;0;532;0;0
52076;2026;418;46;3;1;1;0;0;0;0;0;0;53;0;6;0;0;2;1;0;1;2938;0;162;0;0
52076;2025;418;46;2;0;0;4;2;0;0;0;0;56;0;1;0;0;0;0;0;0;1859;0;53;0;0
52076;2024;418;46;1;0;0;0;0;0;0;0;0;67;0;1;0;0;1;0;1;0;977;24;72;0;0
52076;2023;418;46;2;0;0;0;1;0;0;0;0;62;0;0;0;0;0;0;1;0;1879;0;93;0;0
52097;2026;228;14;3;0;0;0;3;0;0;0;0;52;0;2;13;7;5;2;1;1;2646;168;466;0;0
52097;2025;228;14;3;0;1;0;0;0;0;0;0;57;0;4;5;0;4;0;0;0;2770;120;487;0;0
52097;2024;228;14;4;1;0;6;-2;1;0;0;0;54;0;3;8;4;5;0;0;0;3545;1077;375;0;0
52097;2023;228;14;3;1;1;2;1;1;0;0;0;55;1;5;20;5;2;3;0;2;2291;263;741;0;0
52137;2026;444;46;3;0;0;4;-1;0;0;0;0;59;0;7;2;0;1;2;1;4;2754;568;176;0;0
52137;2025;444;46;2;1;2;2;1;1;0;0;0;66;0;8;0;0;1;1;0;0;1749;293;12;0;0
52137;2024;444;46;3;0;1;2;-2;0;0;0;1;58;0;4;1;1;4;0;1;1;2216;91;100;0;0
52137;2023;444;46;4;0;0;2;-1;0;0;0;0;67;0;8;2;0;7;0;2;2;3259;576;245;0;0
52868;2026;177;14;2;0;0;0;-2;0;0;0;0;57;0;4;0;0;0;1;2;2;2298;66;191;0;0
52868;2025;177;14;2;0;0;2;0;0;0;0;0;46;0;0;0;0;4;2;0;3;1891;93;39;0;0
52868;2024;177;14;3;0;0;0;-2;0;0;0;0;54;0;2;0;0;2;3;1;8;2452;0;689;0;0
52868;2023;177;14;1;0;0;0;1;0;0;0;0;69;0;1;0;0;2;0;1;1;941;69;158;0;0
53648;2026;438;46;3;0;0;0;0;0;0;0;0;53;0;5;3;1;4;0;2;0;2650;225;41;0;0
53648;2025;438;46;3;0;0;0;-2;0;0;0;0;59;0;1;32;21;2;1;3;2;1681;657;0;0;0
53648;2024;438;46;4;0;1;0;-3;0;1;0;0;53;0;6;28;13;1;3;2;0;2763;696;0;0;0
53648;2023;438;46;3;0;2;0;1;0;0;0;0;67;0;4;15;7;3;0;0;6;2221;0;170;0;0
54441;2026;459;29;4;0;0;4;0;0;0;0;0;54;0;5;28;17;1;1;2;2;2645;77;42;0;0
54441;2025;459;29;4;4;1;2;2;2;1;0;0;67;0;10;44;27;3;0;1;6;2697;813;104;0;0
54441;2024;459;29;4;1;0;7;1;0;0;0;0;64;0;7;55;28;3;0;1;2;3012;52;271;1;0
54441;2023;459;29;3;1;2;0;2;0;0;0;0;68;0;5;22;11;1;0;0;2;1837;239;204;0;0
55670;2026;71;10;1;0;1;0;0;0;1;0;0;58;0;3;11;9;1;1;0;0;675;135;12;0;0
55670;2025;434;46;4;1;0;0;0;0;0;0;0;55;0;4;12;8;0;2;3;3;2150;314;141;0;0
55670;2024;434;46;4;0;0;4;-2;0;0;0;0;52;0;4;1;1;0;2;0;4;3472;432;0;0;0
55670;2023;434;46;2;0;0;2;-3;0;0;0;0;51;0;1;17;6;1;0;1;3;1747;221;207;0;0
55671;2026;4959;14;3;0;2;2;-5;0;2;0;0;48;0;0;4;1;0;3;1;1;2800;560;0;0;0
55671;2025;4959;14;3;0;0;6;-1;0;0;0;0;52;0;5;2;1;1;1;0;0;1953;230;55;0;0
55671;2024;4959;14;2;1;0;0;1;0;0;0;0;56;1;7;0;0;2;0;1;0;1460;0;0;0;0
55671;2023;4959;14;3;0;1;0;1;0;0;0;0;57;0;1;1;0;2;3;1;0;2192;0;42;0;0
55876;2026;198;14;1;0;0;0;0;0;0;0;0;59;0;0;0;0;2;0;0;2;863;0;150;0;0
55876;2025;198;14;2;0;0;0;-3;0;0;0;0;53;0;1;0;0;0;1;0;0;1879;0;246;0;0
55876;2024;198;14;1;0;0;0;-1;0;0;0;0;50;0;0;0;0;0;0;0;1;867;0;130;0;0
55876;2023;198;14;1;0;0;0;0;0;0;0;0;57;0;1;0;0;0;0;0;1;908;75;0;0;0
55906;2024;437;46;3;0;1;0;1;0;0;0;0;56;0;2;6;3;0;2;0;1;1130;184;0;0;0
56028;2026;1918;59;7;3;1;0;1;0;1;0;0;60;1;15;89;49;4;3;3;6;5635;600;464;0;0
56028;2025;1918;59;4;0;0;4;-1;0;0;0;0;62;0;6;35;20;5;0;1;1;3032;361;223;0;0
56028;2024;1918;59;6;2;3;2;-2;0;0;0;0;59;1;14;80;47;0;1;1;4;5247;339;328;0;0
56028;2023;1918;59;6;1;1;0;2;0;1;0;0;66;0;15;83;38;6;1;2;1;3258;2079;0;0;0
56125;2026;1928;59;1;0;1;0;1;0;0;0;0;55;0;0;2;1;0;0;0;0;392;0;275;0;0
56125;2025;1928;59;5;0;0;8;0;0;0;0;0;54;0;2;26;12;3;5;1;2;2240;73;1214;0;0
56125;2024;1928;59;4;0;0;2;-3;0;0;0;0;51;0;1;10;3;2;2;0;1;1617;0;682;0;0
56184;2026;179;14;1;0;0;2;0;0;0;0;0;55;0;1;1;1;1;0;0;0;419;0;67;0;0
56184;2025;179;14;3;0;0;0;-4;0;0;0;0;44;0;0;0;0;1;2;0;0;1272;0;0;0;0
56184;2024;179;14;2;0;0;0;-3;0;0;0;0;48;0;1;6;3;0;0;0;0;909;128;0;0;0
56184;2023;179;14;2;0;0;12;-1;0;0;0;0;51;0;1;0;0;0;0;0;0;837;0;0;0;0
56354;2026;206;14;1;0;0;0;1;0;0;0;0;56;0;1;1;1;0;0;0;0;957;168;0;0;0
56354;2025;206;14;1;1;1;2;3;1;0;0;0;57;0;2;0;0;0;0;0;0;745;7;0;0;0
56354;2024;206;14;1;0;1;0;0;0;0;0;0;51;0;0;1;0;1;0;0;0;244;0;171;0;0
56354;2023;206;14;1;1;0;0;1;0;0;0;0;47;1;1;0;0;2;1;0;0;442;0;20;0;0
56593;2026;209;14;4;0;0;4;-2;0;0;0;0;60;0;4;0;0;4;0;3;3;4138;0;215;0;0
56593;2025;209;14;1;0;0;0;1;0;0;0;0;51;0;0;0;0;1;0;0;0;859;0;5;0;0
56593;2024;209;14;1;0;1;0;-1;0;0;0;0;38;0;1;0;0;0;0;1;0;958;0;59;0;0
56593;2023;209;14;1;0;0;0;-3;0;0;0;0;42;0;2;0;0;1;0;0;0;838;0;107;0;0
56762;2026;431;46;4;0;1;6;1;0;0;0;0;58;0;8;15;5;8;2;1;5;2735;366;617;0;0
56762;2025;431;46;4;3;2;0;5;1;0;0;0;62;1;9;5;2;11;3;0;3;3353;290;283;0;0
56762;2024;431;46;3;2;0;0;-2;0;0;0;0;55;0;6;0;0;3;1;0;0;2754;374;65;0;0
56762;2023;431;46;4;0;0;2;-1;0;0;0;0;61;0;8;0;0;7;0;2;2;3196;46;27;0;0
57027;2026;436;46;4;0;1;2;1;0;0;0;0;59;0;2;20;10;2;1;0;1;2065;131;143;0;0
57027;2025;436;46;3;0;0;2;-1;0;0;0;0;59;0;3;23;13;2;0;0;1;1921;514;0;0;0
57027;2024;436;46;4;0;0;0;-1;0;0;0;0;59;0;2;41;17;5;1;0;2;2971;119;184;0;0
57027;2023;436;46;3;0;1;0;-1;0;0;0;0;71;0;5;45;25;5;1;3;3;2698;224;0;0;0
57064;2026;230;14;4;1;0;0;-4;0;0;0;0;59;1;13;36;20;6;1;2;0;2631;238;241;0;0
57064;2025;230;14;4;0;2;2;-1;0;0;0;0;59;0;4;44;23;2;0;1;2;2864;136;353;0;0
57064;2024;230;14;4;0;0;0;-2;0;0;0;0;57;0;1;29;14;10;1;2;1;1521;0;780;0;0
57064;2023;230;14;4;0;1;2;0;0;0;0;0;64;0;3;36;16;0;0;2;5;2996;0;659;0;0
57065;2026;230;14;1;0;0;0;0;0;0;0;0;50;0;1;3;2;0;1;0;0;437;0;122;0;0
57065;2025;230;14;3;0;1;12;1;0;0;0;0;54;0;1;9;1;4;0;0;3;1437;8;69;0;0
57065;2024;230;14;3;0;0;0;1;0;0;0;0;52;0;3;6;4;0;1;0;1;1652;121;3;0;0
57065;2023;230;14;4;1;2;2;0;0;0;0;0;57;0;2;31;12;1;4;1;5;2438;0;639;0;0
57096;2026;221;14;1;0;0;0;1;0;0;0;0;63;0;1;0;0;0;0;0;3;1008;0;56;0;0
57096;2025;221;14;1;1;1;0;2;0;0;0;0;71;1;2;0;0;2;2;2;3;1045;0;214;0;0
57096;2024;221;14;1;0;0;0;0;0;0;0;0;62;0;1;0;0;1;0;0;1;796;0;43;0;0
57096;2023;221;14;1;0;0;0;-2;0;0;0;0;43;0;1;0;0;1;0;0;0;948;0;37;0;0
57142;2026;182;14;4;0;1;12;-2;0;0;0;0;56;0;6;0;0;1;1;2;5;3879;60;820;0;0
57142;2025;182;14;2;0;0;0;0;0;0;0;0;55;0;2;0;0;2;0;1;1;1683;39;239;0;0
57142;2024;182;14;1;0;0;0;-1;0;0;0;0;46;0;2;0;0;0;1;0;1;1052;0;185;0;0
57142;2023;182;14;1;0;0;0;-1;0;0;0;0;42;0;0;0;0;0;0;0;1;1006;0;147;0;0
57165;2023;114;11;5;2;0;12;0;0;0;0;0;59;0;8;24;13;7;0;0;0;2390;0;286;0;0
57310;2026;431;46;4;0;0;0;1;0;0;0;0;62;0;7;1;1;1;1;2;3;2728;1117;0;0;0
57310;2025;431;46;4;1;2;2;2;0;0;0;0;67;0;12;0;0;1;1;1;6;3447;907;0;0;0
57310;2024;431;46;3;1;1;2;-2;1;1;0;0;54;0;8;0;0;2;3;0;7;2529;559;0;0;0
57310;2023;431;46;3;0;0;0;-3;0;0;0;0;55;0;4;0;0;2;1;1;2;1929;599;0;0;0
57674;2025;1505;14;3;1;0;0;-1;0;0;0;0;56;1;2;0;0;4;1;1;9;3247;124;234;0;0
57674;2024;1505;14;3;1;0;2;1;0;0;0;0;56;1;4;0;0;3;0;2;7;3215;39;164;0;0
57967;2026;211;14;3;0;0;0;0;0;0;0;0;55;0;6;1;0;3;0;0;0;1867;0;21;0;0
57967;2025;211;14;3;0;0;0;-1;0;0;0;0;56;0;7;3;1;5;1;0;2;2446;0;77;0;0
57967;2024;211;14;3;0;1;0;2;0;0;0;0;56;0;3;1;1;5;0;0;1;2837;3;275;0;0
57967;2023;211;14;2;0;0;0;-1;0;0;0;0;49;0;2;0;0;0;0;0;1;872;33;0;0;0
58838;2025;132;13;4;1;0;0;-1;0;0;0;0;51;0;3;19;13;2;1;0;2;2008;0;128;0;0
59373;2024;137;13;2;0;1;0;-2;0;0;0;0;50;0;1;1;0;0;0;0;1;924;145;0;0;0
59373;2023;1340;13;1;0;0;0;-2;0;0;0;0;49;0;0;9;5;1;0;0;0;278;210;0;0;0
60118;2026;4960;14;1;1;0;2;1;0;0;0;0;66;0;3;0;0;0;0;0;1;883;0;113;0;0
60118;2025;4960;14;1;1;0;0;0;1;0;0;0;69;0;2;0;0;0;0;1;2;872;45;169;0;0
60118;2024;4960;14;1;0;0;0;0;0;0;0;0;65;0;3;0;0;5;0;1;1;867;0;224;0;0
60118;2023;4960;14;1;0;0;0;-1;0;0;0;0;67;0;1;0;0;1;1;2;1;851;0;221;0;0
60239;2026;222;14;3;3;0;0;4;0;0;0;0;58;1;7;2;0;1;0;1;0;1859;0;378;0;0
